Node,Depth,Value,Alpha,Beta
A2,3,Infinity,3,Infinity
B2,4,2,3,Infinity
A2,3,2,3,Infinity
A4,3,2,3,Infinity
A3,3,Infinity,3,Infinity
B2,4,2,3,Infinity
A3,3,2,3,Infinity
A4,3,2,3,Infinity
B2,2,2,3,Infinity
A5,1,2,3,Infinity
root,0,3,3,Infinity
